Section,Field,Value
Configuration,Map,Town01
Configuration,Traffic Total,36
Configuration,Type A Count,12
Configuration,Type B Count,12
Configuration,Type C Count,12
Configuration,V2X Range (m),150.0
Configuration,Storm Enabled,False
Configuration,Ambulance Start Waypoint,11
Configuration,Ambulance End Waypoint,86

Summary,Average Trip Duration (s),39.733
Summary,Min Trip Duration (s),39.733
Summary,Max Trip Duration (s),39.733
Summary,Std Dev Trip Duration (s),0.000
Summary,Average Trip Distance (m),198.068
Summary,Average Speed (m/s),4.985

Runs,Run Number,Trip Duration (s),Trip Distance (m),Average Speed (m/s),Type A Spawned,Type B Spawned,Type C Spawned,Trip Complete
Runs,1,39.733,198.068,4.985,12,12,12,True
