Section,Field,Value
Configuration,Map,Town01
Configuration,Traffic Total,36
Configuration,Type A Count,12
Configuration,Type B Count,12
Configuration,Type C Count,12
Configuration,V2X Range (m),150.0
Configuration,Storm Enabled,False
Configuration,Ambulance Start Waypoint,171
Configuration,Ambulance End Waypoint,85

Summary,Average Trip Duration (s),37.733
Summary,Min Trip Duration (s),37.733
Summary,Max Trip Duration (s),37.733
Summary,Std Dev Trip Duration (s),0.000
Summary,Average Trip Distance (m),180.384
Summary,Average Speed (m/s),4.780

Runs,Run Number,Trip Duration (s),Trip Distance (m),Average Speed (m/s),Type A Spawned,Type B Spawned,Type C Spawned,Trip Complete
Runs,1,37.733,180.384,4.780,12,12,12,True
