Section,Field,Value
Configuration,Map,Town01
Configuration,Traffic Total,60
Configuration,Type A Count,20
Configuration,Type B Count,20
Configuration,Type C Count,20
Configuration,V2X Range (m),150.0
Configuration,Storm Enabled,True
Configuration,Ambulance Start Waypoint,33
Configuration,Ambulance End Waypoint,253

Summary,Average Trip Duration (s),120.000
Summary,Min Trip Duration (s),120.000
Summary,Max Trip Duration (s),120.000
Summary,Std Dev Trip Duration (s),0.000
Summary,Average Trip Distance (m),288.314

Runs,Run Number,Trip Duration (s),Trip Distance (m),Average Speed (m/s),Type A Spawned,Type B Spawned,Type C Spawned,Trip Complete
Runs,1,120.000,288.314,0.000,20,19,20,False
